[08-12 17:39:04] New Score: 110, Best Score: 431, Average Score: 86.6411149825784
[08-12 17:39:08] New Score: 111, Best Score: 431, Average Score: 86.72569444444444
[08-12 17:39:12] New Score: 99, Best Score: 431, Average Score: 86.7681660899654
[08-12 17:39:17] New Score: 110, Best Score: 431, Average Score: 86.84827586206896
[08-12 17:39:21] New Score: 112, Best Score: 431, Average Score: 86.93470790378007
[08-12 17:39:26] New Score: 100, Best Score: 431, Average Score: 86.97945205479452
[08-12 17:39:30] New Score: 111, Best Score: 431, Average Score: 87.06143344709898
[08-12 17:39:35] New Score: 99, Best Score: 431, Average Score: 87.10204081632654
[08-12 17:39:39] New Score: 98, Best Score: 431, Average Score: 87.13898305084746
[08-12 17:39:43] New Score: 102, Best Score: 431, Average Score: 87.1891891891892
[08-12 17:39:48] New Score: 110, Best Score: 431, Average Score: 87.26599326599326
[08-12 17:39:52] New Score: 99, Best Score: 431, Average Score: 87.30536912751678
[08-12 17:39:56] New Score: 98, Best Score: 431, Average Score: 87.34113712374582
[08-12 17:40:00] New Score: 99, Best Score: 431, Average Score: 87.38
[08-12 17:40:05] New Score: 101, Best Score: 431, Average Score: 87.42524916943522
[08-12 17:40:09] New Score: 101, Best Score: 431, Average Score: 87.47019867549669
[08-12 17:40:13] New Score: 99, Best Score: 431, Average Score: 87.50825082508251
[08-12 17:40:17] New Score: 98, Best Score: 431, Average Score: 87.54276315789474
[08-12 17:40:21] New Score: 98, Best Score: 431, Average Score: 87.57704918032788
[08-12 17:40:25] New Score: 98, Best Score: 431, Average Score: 87.61111111111111
[08-12 17:40:30] New Score: 100, Best Score: 431, Average Score: 87.6514657980456
[08-12 17:40:34] New Score: 111, Best Score: 431, Average Score: 87.72727272727273
[08-12 17:40:39] New Score: 100, Best Score: 431, Average Score: 87.76699029126213
[08-12 17:40:43] New Score: 99, Best Score: 431, Average Score: 87.80322580645161
[08-12 17:40:48] New Score: 112, Best Score: 431, Average Score: 87.88102893890675
[08-12 17:40:52] New Score: 110, Best Score: 431, Average Score: 87.95192307692308
[08-12 17:40:57] New Score: 101, Best Score: 431, Average Score: 87.99361022364218
[08-12 17:41:01] New Score: 99, Best Score: 431, Average Score: 88.02866242038216
[08-12 17:41:06] New Score: 111, Best Score: 431, Average Score: 88.1015873015873
[08-12 17:41:10] New Score: 100, Best Score: 431, Average Score: 88.13924050632912
[08-12 17:41:16] New Score: 135, Best Score: 431, Average Score: 88.28706624605678
[08-12 17:41:21] New Score: 125, Best Score: 431, Average Score: 88.40251572327044
[08-12 17:41:25] New Score: 111, Best Score: 431, Average Score: 88.47335423197492
[08-12 17:41:30] New Score: 110, Best Score: 431, Average Score: 88.540625
[08-12 17:41:34] New Score: 99, Best Score: 431, Average Score: 88.57320872274143
[08-12 17:41:39] New Score: 110, Best Score: 431, Average Score: 88.63975155279503
[08-12 17:41:43] New Score: 112, Best Score: 431, Average Score: 88.71207430340557
[08-12 17:41:48] New Score: 99, Best Score: 431, Average Score: 88.74382716049382
[08-12 17:41:53] New Score: 124, Best Score: 431, Average Score: 88.85230769230769
[08-12 17:41:58] New Score: 124, Best Score: 431, Average Score: 88.9601226993865
[08-12 17:42:03] New Score: 111, Best Score: 431, Average Score: 89.02752293577981
[08-12 17:42:07] New Score: 98, Best Score: 431, Average Score: 89.0548780487805
[08-12 17:42:11] New Score: 99, Best Score: 431, Average Score: 89.08510638297872
[08-12 17:42:17] New Score: 126, Best Score: 431, Average Score: 89.1969696969697
[08-12 17:42:21] New Score: 100, Best Score: 431, Average Score: 89.2296072507553
[08-12 17:42:26] New Score: 122, Best Score: 431, Average Score: 89.32831325301204
[08-12 17:42:31] New Score: 112, Best Score: 431, Average Score: 89.3963963963964
[08-12 17:42:35] New Score: 98, Best Score: 431, Average Score: 89.42215568862275
[08-12 17:42:39] New Score: 98, Best Score: 431, Average Score: 89.44776119402985
[08-12 17:42:44] New Score: 135, Best Score: 431, Average Score: 89.58333333333333
[08-12 17:42:49] New Score: 113, Best Score: 431, Average Score: 89.65281899109792
[08-12 17:42:55] New Score: 146, Best Score: 431, Average Score: 89.81952662721893
[08-12 17:42:59] New Score: 98, Best Score: 431, Average Score: 89.84365781710915
[08-12 17:43:04] New Score: 111, Best Score: 431, Average Score: 89.90588235294118
[08-12 17:43:08] New Score: 102, Best Score: 431, Average Score: 89.94134897360703
[08-12 17:43:13] New Score: 101, Best Score: 431, Average Score: 89.97368421052632
[08-12 17:43:17] New Score: 101, Best Score: 431, Average Score: 90.00583090379008
[08-12 17:43:21] New Score: 98, Best Score: 431, Average Score: 90.02906976744185
[08-12 17:43:26] New Score: 111, Best Score: 431, Average Score: 90.08985507246376
[08-12 17:43:30] New Score: 122, Best Score: 431, Average Score: 90.1820809248555
[08-12 17:43:35] New Score: 110, Best Score: 431, Average Score: 90.23919308357348
[08-12 17:43:39] New Score: 99, Best Score: 431, Average Score: 90.26436781609195
[08-12 17:43:43] New Score: 100, Best Score: 431, Average Score: 90.29226361031519
[08-12 17:43:48] New Score: 111, Best Score: 431, Average Score: 90.35142857142857
[08-12 17:43:52] New Score: 99, Best Score: 431, Average Score: 90.37606837606837
[08-12 17:43:56] New Score: 98, Best Score: 431, Average Score: 90.39772727272727
[08-12 17:44:00] New Score: 99, Best Score: 431, Average Score: 90.42209631728045
